193  441.689 2.630
194  444.111 2.646
195  446.534 2.661
196  448.960 2.676
197  451.389 2.691
198  453.820 2.706
199  456.253 2.721
200  458.688 2.736
201  461.156 2.690
202  463.565 2.644
203  466.007 2.659
204  468.451 2.673
205  470.897 2.688
206  473.344 2.703
207  475.794 2.717
208  478.245 2.732
209  480.699 2.746
210  483.154 2.760
211  485.611 2.776
212  488.069 2.789
213  490.567 2.732
214  492.991 2.672
215  495.455 2.687
216  497.920 2.700
217  500.387 2.715
218  502.855 2.729
219  505.325 2.743
220  507.795 2.757
221  510.268 2.771
222  512.741 2.784
223  515.216 2.800
224  517.693 2.813
225  520.208 2.753
226  522.648 2.689
227  525.128 2.703
228  527.608 2.717
229  530.090 2.730
230  532.573 2.744
231  535.057 2.759
232  537.541 2.771
233  540.027 2.785
234  542.513 2.799
235  545.001 2.812
236  547.489 2.826
237  550.011 2.772
238  552.467 2.719
239  554.957 2.732
240  557.449 2.745
241  559.940 2.759
242  562.431 2.771
243  564.925 2.784
244  567.418 2.798
245  569.911 2.811
246  572.405 2.823
247  574.899 2.837
248  577.394 2.851
249  579.924 2.794
250  582.385 2.738
251  584.880 2.751
252  587.377 2.763
253  589.873 2.776
254  592.369 2.789
255  594.866 2.802
256  597.362 2.813
257  599.859 2.827
258  602.355 2.840
259  604.852 2.852
260  607.349 2.866
261  609.881 2.806
262  612.342 2.747
263  614.838 2.760
264  617.334 2.772
265  619.831 2.784
266  622.327 2.797
267  624.822 2.808
268  627.318 2.821
269  629.813 2.833
270  632.308 2.845
271  634.802 2.858
272  637.296 2.870
273  639.820 2.820
274  642.283 2.772
275  644.775 2.784
276  647.267 2.795
277  649.759 2.807
278  652.250 2.820
279  654.740 2.831
280  657.230 2.842
281  659.720 2.855
282  662.208 2.866
283  664.696 2.878
284  667.183 2.890
285  669.707 2.826
286  672.155 2.762
287  674.641 2.775
288  677.124 2.785
289  679.608 2.796
290  682.090 2.808
291  684.572 2.819
292  687.052 2.831
293  689.532 2.841
294  692.011 2.853
295  694.488 2.865
296  696.965 2.876
297  699.473 2.823
298  701.915 2.770
299  704.389 2.781
300  706.861 2.791
301  709.333 2.802
302  711.803 2.813
303  714.272 2.823
304  716.739 2.834
305  719.206 2.844
306  721.671 2.857
307  724.136 2.866
308  726.598 2.878
309  729.093 2.822
310  731.520 2.767
311  733.979 2.778
312  736.437 2.789
313  738.893 2.799
314  741.347 2.809
315  743.801 2.819
316  746.253 2.831
317  748.703 2.841
318  751.152 2.850
319  753.600 2.861
320  756.046 2.871
321  758.490 2.882
322  760.967 2.824
323  763.374 2.768
324  765.814 2.778
325  768.252 2.788
326  770.689 2.797
327  773.124 2.807
328  775.557 2.817
329  777.988 2.827
330  780.419 2.837
331  782.847 2.847
332  785.273 2.857
333  787.698 2.866
334  790.121 2.876
335  792.577 2.818
336  794.962 2.759
337  797.380 2.769
338  799.795 2.778
339  802.210 2.787
340  804.622 2.796
341  807.032 2.806
342  809.440 2.815
343  811.847 2.824
344  814.252 2.833
345  816.654 2.843
346  819.055 2.852
347  821.454 2.862
348  823.886 2.801
349  826.247 2.740
350  828.640 2.749
351  831.031 2.759
352  833.421 2.767
